"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
53.953072,-9.795862,2024,9,"Ireland","HUMAN_OBSERVATION",53.85,-9.74999999999999,11.86,1315,916,1330,1269,5302,1908,761,545,812,699
48.324443,-4.393682,2024,9,"France","HUMAN_OBSERVATION",NA,NA,NA,715,638,578,564,4791,1400,253,228,112,54
54.179363,7.88888,2024,9,"Germany","HUMAN_OBSERVATION",NA,NA,NA,461,449,1699,1444,5893,1045,998,923,1034,1022
53.889145,8.683614,2024,9,"Germany","HUMAN_OBSERVATION",53.95,8.65000000000001,7.12,505,471,1743,1456,5938,1002,1043,961,1078,1052
53.701706,7.200787,2024,9,"Germany","HUMAN_OBSERVATION",NA,NA,NA,405,379,1643,1374,5838,1019,943,862,979,956
51.32085,3.1361,2024,9,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,1269,1001,5464,1004,569,524,605,585
51.15594,2.72821,2024,9,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,5.5,43,41,1227,968,5422,1022,527,488,562,546
51.09583,2.56163,2024,9,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,6.08,50,47,1220,965,5415,1027,520,481,555,540
53.686836,7.033467,2024,9,"Germany","HUMAN_OBSERVATION",NA,NA,NA,388,370,1626,1366,5821,1023,926,851,961,945
53.682922,6.992495,2024,9,"Germany","HUMAN_OBSERVATION",NA,NA,NA,381,368,1619,1365,5814,1024,919,848,955,943
53.687469,7.029234,2024,9,"Germany","HUMAN_OBSERVATION",NA,NA,NA,388,370,1626,1366,5821,1023,926,851,961,945
55.14021,-7.473321,2024,10,"Ireland","HUMAN_OBSERVATION",55.15,-7.54999999999999,5,1372,829,1487,1354,5562,1834,818,579,891,757
48.350879,-4.568963,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,575,570,4783,1413,238,226,97,60
51.29996,3.07134,2024,10,"Belgium","HUMAN_OBSERVATION",51.35,3.05000000000001,5.76,7,7,1262,1001,5457,1011,562,519,598,581
