"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
55.198058,11.492922,2024,1,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,1160,701,1775,1353,6346,2443,502,467,2383,1683,6578,1087,426,410,415,243,6545,1197,6545,1197,1719,1280,297,277,955,872,2598,2061
55.199342,11.491213,2024,1,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,1160,701,1775,1353,6346,2443,502,467,2383,1683,6578,1087,426,410,415,243,6545,1197,6545,1197,1719,1280,297,277,955,872,2598,2061
44.978687,37.25455,2024,1,"Russian Federation","HUMAN_OBSERVATION",NA,NA,NA,Inf,2608,Inf,2814,Inf,1484,Inf,1697,Inf,3193,Inf,1854,Inf,2345,Inf,2358,Inf,1966,Inf,1966,Inf,3132,Inf,2249,Inf,1900,Inf,3679
55.770083,21.077295,2024,1,"Lithuania","HUMAN_OBSERVATION",NA,NA,NA,1699,1281,2314,1323,6885,2291,212,214,2922,2205,7117,1256,935,692,954,753,7084,1403,7084,1403,2258,1868,796,610,483,471,3137,2621
51.23601,2.9296,2024,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.76,25,24,1976,1898,5208,2509,1595,1120,1245,984,5439,1016,1002,998,778,748,5407,1036,5407,1036,580,564,975,917,2025,1593,1460,1337
51.29466,3.20719,2024,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,7.33,0,0,1963,1881,5233,2499,1576,1096,1269,1004,5464,1006,983,978,760,728,5431,1029,5431,1029,605,588,956,896,2006,1570,1484,1360
57.39508,12.10801,2024,1,"Sweden","HUMAN_OBSERVATION",57.35,12.05,6.11,979,882,1593,1111,6166,2635,637,524,2203,1883,6397,1320,179,179,234,188,6365,1435,6365,1435,1538,1435,39,42,1066,707,2417,2235
55.54114,12.90669,2024,1,"Sweden","HUMAN_OBSERVATION",55.55,12.85,3.7,1147,795,1762,1307,6334,2434,430,391,2370,1771,6565,1117,383,385,402,279,6532,1235,6532,1235,1706,1374,244,247,859,781,2585,2153
55.52458,12.89464,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1147,796,1762,1310,6334,2431,430,387,2370,1771,6565,1114,383,388,402,283,6532,1232,6532,1232,1706,1376,244,251,859,781,2585,2154
59.890125,10.634032,2024,1,"Norway","HUMAN_OBSERVATION",59.85,10.55,6.48,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
