"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Toralla_seaway","Toralla_geodesic"
43.215056,5.326428,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.186332,5.391312,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
50.140662,-5.074664,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
42.041389,3.224722,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.041496,3.227762,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
39.366615,-9.373056,2024,5,"Portugal","HUMAN_OBSERVATION",39.35,-9.44999999999999,6.88,1562,1545,334,325
37.104116,-8.945664,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1795,590,569
37.198605,-8.906057,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.198387,-8.891713,2024,5,"Portugal","HUMAN_OBSERVATION",37.15,-8.94999999999999,7.47,1815,1790,590,564
37.198165,-8.905809,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.100771,-8.945415,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1796,590,569
37.099926,-8.945449,2024,5,"Portugal","HUMAN_OBSERVATION",37.15,-8.94999999999999,5.59,1815,1790,590,564
38.691455,-9.421687,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1640,1618,415,397
37.198554,-8.905766,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.103011,-8.944847,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1796,590,569
37.341281,-8.85312,2024,5,"Portugal","HUMAN_OBSERVATION",37.35,-8.94999999999999,8.63,1793,1768,567,542
42.248091,3.243252,2024,5,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,7.69,3275,1554,2050,984
37.19864,-8.906095,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.008412,-8.926396,2024,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,6.83,1837,1813,612,586
37.012293,-8.930018,2024,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.16,1837,1813,612,586
43.176849,5.370761,2024,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
37.198392,-8.905739,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.198242,-8.905696,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
39.36979,-9.378157,2024,5,"Portugal","HUMAN_OBSERVATION",39.35,-9.44999999999999,6.56,1562,1545,334,325
37.102592,-8.94493,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1796,590,569
38.41435,-9.188664,2024,5,"Portugal","HUMAN_OBSERVATION",38.45,-9.24999999999999,6.66,1668,1645,443,421
37.099716,-8.946006,2024,5,"Portugal","HUMAN_OBSERVATION",37.15,-8.94999999999999,5.61,1815,1790,590,564
37.198395,-8.906101,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.198527,-8.905722,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
37.340685,-8.853214,2024,5,"Portugal","HUMAN_OBSERVATION",37.35,-8.94999999999999,8.63,1793,1768,567,542
43.328636,5.044477,2024,5,"France","HUMAN_OBSERVATION",43.25,5.05000000000001,8.77,3444,1558,2219,1137
37.340073,-8.855755,2024,5,"Portugal","HUMAN_OBSERVATION",37.35,-8.94999999999999,8.41,1793,1768,567,542
37.099832,-8.94627,2024,5,"Portugal","HUMAN_OBSERVATION",37.15,-8.94999999999999,5.59,1815,1790,590,564
43.174412,5.398524,2024,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
37.450828,-8.82261,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1783,1757,558,530
43.213942,5.325365,2024,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
37.338598,-8.852222,2024,5,"Portugal","HUMAN_OBSERVATION",37.35,-8.94999999999999,8.75,1793,1768,567,542
43.216549,5.320923,2024,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1574,2237,1159
37.198823,-8.898322,2024,5,"Portugal","HUMAN_OBSERVATION",37.15,-8.94999999999999,7.11,1815,1790,590,564
37.198302,-8.905749,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1785,590,559
38.687786,-9.360407,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
38.693398,-9.369528,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1618,423,396
38.6883,-9.361183,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
38.688206,-9.361793,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
38.68832,-9.361623,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
39.38,-0.28,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1702,1656,783
39.37,-0.29,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1703,1656,783
39.38,-0.29,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1702,1656,783
39.33,-0.26,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1708,1656,787
39.32,-0.26,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1709,1656,788
39.32,-0.25,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2881,1709,1656,789
50.145948,-5.061726,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.329115,5.099967,2024,6,"France","HUMAN_OBSERVATION",43.25,5.05000000000001,9.69,3444,1558,2219,1137
43.186212,5.391687,2024,6,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
42.238208,3.206237,2024,6,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.82,3275,1554,2050,984
51.88417,-10.383198,2024,6,"Ireland","HUMAN_OBSERVATION",51.85,-10.45,5.96,165,163,1093,1077
43.280064,5.350595,2024,6,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1571,2237,1161
43.280233,5.350303,2024,6,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1571,2237,1161
50.145948,-5.061726,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.413644,-2.958567,2024,6,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1252,1203,655,494
48.446506,-5.140284,2024,6,"France","HUMAN_OBSERVATION",NA,NA,NA,698,625,790,747
49.248934,-2.201953,2024,6,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,838,689,1023,932
37.710695,-8.790823,2024,6,"Portugal","HUMAN_OBSERVATION",37.75,-8.84999999999999,6.8,1754,1724,529,497
50.144786,-5.064959,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.260563,5.289474,2024,7,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
50.144437,-5.068197,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.142131,-5.068326,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.142083,-5.068853,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.406015,-2.973662,2024,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1252,1203,655,492
