"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
52.1,4.3,2025,2,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.53,119,117,871,864,647,613,711,697,1590,1476
53.05,4.85,2025,2,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
52.15,4.3,2025,2,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,3.42,119,117,871,864,647,613,711,697,1590,1476
52.15,4.3,2025,2,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,3.42,119,117,871,864,647,613,711,697,1590,1476
52.7,4.6,2025,2,"Netherlands","HUMAN_OBSERVATION",52.75,4.55000000000001,6.51,183,183,801,795,577,545,757,749,1636,1537
52.05,4.2,2025,2,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,3.42,106,104,884,877,660,626,700,685,1580,1463
52.1,4.3,2025,2,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.53,119,117,871,864,647,613,711,697,1590,1476
52.7,4.6,2025,2,"Netherlands","HUMAN_OBSERVATION",52.75,4.55000000000001,6.51,183,183,801,795,577,545,757,749,1636,1537
51.8,3.95,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,73,75,920,908,696,657,675,660,1555,1434
52.2,4.35,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
52.2,4.4,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,858,851,635,600,721,708,1601,1489
53.5,6.15,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,320,314,688,672,464,421,894,885,1773,1672
53.722613,7.36312,2025,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,412,389,637,618,414,370,985,966,1865,1749
53.72472,7.363845,2025,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,412,389,637,618,414,370,985,966,1865,1749
51.5,4.05,2025,2,"Netherlands","HUMAN_OBSERVATION",51.55,4.05000000000001,5.57,80,66,943,930,720,679,682,654,1562,1421
51.073662,2.493275,2025,2,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,9.02,57,54,1025,1021,802,772,548,534,1428,1309
51.07579,2.491611,2025,2,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,8.76,57,54,1025,1021,802,772,548,534,1428,1309
51.6,4,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,65,943,926,720,675,682,653,1562,1422
51.75,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,66,66,923,916,699,666,668,651,1548,1425
51.6,3.65,2025,2,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,49,48,938,932,715,682,651,634,1530,1408
52.2,4.35,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
