"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic"
41.85694,8.75014,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
42.43311,3.17523,2023,5,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.44133,3.17672,2023,5,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.1,2318,894
43.54808,7.1401,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,556
42.50889,3.13244,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2329,900
43.54028,7.08278,2023,5,"France","HUMAN_OBSERVATION",43.55,7.15000000000001,5.53,2086,555
41.85174,8.75911,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
43.54808,7.1401,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,556
42.43311,3.17523,2023,5,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
43.54808,7.1401,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,556
41.4571,9.03499,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1808,581
41.83737,8.74053,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
43.54371,7.11805,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,557
41.8383,8.74246,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
42.43311,3.17523,2023,5,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.2371,3.26296,2023,5,"Spain","HUMAN_OBSERVATION",42.25,3.35000000000001,7.32,2304,897
41.85043,8.75475,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,563
39.529159,2.43123,2023,5,"Spain","HUMAN_OBSERVATION",39.55,2.35000000000001,7.35,2330,1134
39.563008,2.65795,2023,6,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2306,1112
37.929989,12.324068,2023,6,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1436,849
37.914445,12.285512,2023,6,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1443,851
39.323672,3.144722,2023,6,"Spain","HUMAN_OBSERVATION",39.25,3.15000000000001,8.21,2251,1103
43.16034,5.61504,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,2146,686
43.16002,5.61549,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,2146,686
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
41.83427,8.72246,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,566
