"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
50.60825,-1.949146,2020,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-1.94999999999999,6.48,853,615,179,158,248,250
52.94752,1.204077,2020,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
52.93366,1.315955,2020,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,741,659,474,694,598
50.59002,-2.330746,2020,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,825,590,151,132,232,239
52.93988,1.275332,2020,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,739,665,472,701,597
52.95076,1.145234,2020,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,730,672,466,708,593
48.59619,-2.01798,2020,10,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,6.44,876,744,245,244,158,141
48.57116,-1.98165,2020,10,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.12,876,744,245,244,158,141
50.60802,-1.948892,2020,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-1.94999999999999,6.46,853,615,179,158,248,250
49.48892,0.11775,2019,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1002,804,342,322,346,310
49.1823,-2.1105,2019,3,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,849,699,198,198,147,145
50.7136,-1.873374,2019,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.65,-1.84999999999999,7.27,864,615,190,167,262,264
49.203116,-2.01589,2019,4,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,852,703,195,201,158,153
52.96551,1.054447,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.41,1357,722,683,467,719,597
49.162,-2.023,2019,7,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,856,705,203,204,154,151
52.94694,1.218142,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
52.95121,1.135252,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
52.94282,1.255052,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,737,665,471,701,597
52.96678,1.054194,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.27,1357,722,683,467,719,597
52.94282,1.255052,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,737,665,471,701,597
52.94895,1.209483,2019,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
48.670151,-4.469221,2019,8,"France","HUMAN_OBSERVATION",NA,NA,NA,716,630,192,190,41,37
52.95079,1.137835,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
51.5,4,2019,8,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1314,950,640,584,675,647
52.94761,1.215423,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,469,701,595
52.94361,1.253168,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,737,665,471,701,597
52.92213,1.346431,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
50.62594,-1.93496,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.65,-1.84999999999999,6.57,864,615,190,167,262,264
52.9476,1.219271,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
50.36385,-4.130932,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,689,503,0,2,180,183
52.84269,1.535315,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1315,757,641,481,677,601
