"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","TZS_seaway","TZS_geodesic"
53.959469,10.880928,2024,1,"Germany","HUMAN_OBSERVATION",54.05,10.85,10.28,562,510,1024,990
49.780293,8.450804,2024,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
46.480533,30.34167,2024,2,"Ukraine","HUMAN_OBSERVATION",46.25,30.65,34.92,Inf,1246,Inf,1590
46.480517,30.341673,2024,2,"Ukraine","HUMAN_OBSERVATION",46.25,30.65,34.92,Inf,1246,Inf,1590
52.1,4.6,2024,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,23.88,1452,981,1881,1441
51.05,5.8,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.4,4.85,2024,2,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,21.11,1427,961,1857,1416
52,6.1,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.45,2024,2,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,94.97,1427,961,1857,1416
51.5,3.75,2024,2,"Netherlands","HUMAN_OBSERVATION",51.65,3.75000000000001,16.7,1529,1044,1958,1517
51.8,5.85,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.7,4.85,2024,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,70.17,1452,981,1881,1441
51.7,4.85,2024,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,70.17,1452,981,1881,1441
51.8,4.4,2024,2,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,32.7,1477,1002,1906,1467
52.1,4.7,2024,2,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,32.64,1440,971,1869,1429
50.96539,4.44917,2024,2,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,45.02,1563,1026,1992,1517
51.26921,4.30214,2024,2,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,9.7,1563,1026,1992,1517
48.295883,7.699592,2024,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
48.200253,16.43691,2024,3,"Austria","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
48.200321,16.436882,2024,3,"Austria","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
46.480621,30.341605,2024,3,"Ukraine","HUMAN_OBSERVATION",46.25,30.65,34.93,Inf,1246,Inf,1590
