"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic"
53.35,5.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1503,1267
51.3,3.8,2024,6,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,6.56,1363,1030
51.75,3.85,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1333,1067
51.45,4.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
51.45,4.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
51.45,4.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
51.45,4.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
54.12447,10.887232,2024,6,"Germany","HUMAN_OBSERVATION",54.05,10.85,8.64,2501,1563
51.5,3.95,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
54.404978,10.19174,2024,6,"Germany","HUMAN_OBSERVATION",54.45,10.25,6.27,2457,1567
54.404926,10.191743,2024,6,"Germany","HUMAN_OBSERVATION",54.45,10.25,6.28,2457,1567
51.45,4.2,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
51.7,3.95,2024,6,"Netherlands","HUMAN_OBSERVATION",51.75,3.95000000000001,5.57,1340,1071
58.00684,11.75675,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2188,1928
56.85859,12.54621,2024,6,"Sweden","HUMAN_OBSERVATION",56.85,12.45,5.93,2249,1857
57.90438,11.76353,2024,6,"Sweden","HUMAN_OBSERVATION",57.95,11.65,8.42,2178,1919
58.41938,11.42724,2024,6,"Sweden","HUMAN_OBSERVATION",58.45,11.55,7.92,2200,1959
57.36107,12.08084,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2203,1885
56.61763,12.90601,2024,6,"Sweden","HUMAN_OBSERVATION",56.65,12.85,4.97,2291,1858
58.40375,11.39764,2024,6,"Sweden","HUMAN_OBSERVATION",58.45,11.25,10.03,2176,1949
58.89462,11.04748,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2201,1982
58.35564,11.23243,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2171,1940
57.955,11.75738,2024,6,"Sweden","HUMAN_OBSERVATION",57.95,11.65,6.37,2178,1919
58.14172,11.82129,2024,6,"Sweden","HUMAN_OBSERVATION",58.05,11.75,11.04,2188,1931
58.33934,11.90686,2024,6,"Sweden","HUMAN_OBSERVATION",58.25,11.65,18.02,2190,1945
57.99759,11.53932,2024,6,"Sweden","HUMAN_OBSERVATION",58.05,11.55,5.87,2176,1924
58.59196,11.27824,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2184,1962
58.06341,11.76373,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2188,1933
58.05325,11.56536,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2176,1925
56.23483,12.68029,2024,6,"Sweden","HUMAN_OBSERVATION",56.25,12.75,4.63,2301,1821
58.24381,11.82484,2024,6,"Sweden","HUMAN_OBSERVATION",58.25,11.65,10.27,2190,1945
58.40703,11.61743,2024,6,"Sweden","HUMAN_OBSERVATION",58.45,11.55,6.19,2200,1959
57.64969,11.76646,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2180,1897
58.0719,11.81457,2024,6,"Sweden","HUMAN_OBSERVATION",58.05,11.75,4.52,2188,1931
58.11568,11.48706,2024,6,"Sweden","HUMAN_OBSERVATION",58.05,11.45,7.63,2170,1920
58.06732,11.64483,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2182,1929
58.17293,11.45857,2024,6,"Sweden","HUMAN_OBSERVATION",58.25,11.45,8.59,2179,1938
58.24223,11.85288,2024,6,"Sweden","HUMAN_OBSERVATION",58.25,11.65,11.92,2190,1945
56.64024,12.78067,2024,6,"Sweden","HUMAN_OBSERVATION",56.65,12.85,4.38,2291,1858
57.30021,12.1656,2024,6,"Sweden","HUMAN_OBSERVATION",57.35,12.05,8.89,2203,1883
57.1844,12.21289,2024,6,"Sweden","HUMAN_OBSERVATION",57.15,12.15,5.39,2217,1870
58.06128,11.62448,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2182,1928
58.38836,11.45364,2024,6,"Sweden","HUMAN_OBSERVATION",58.35,11.55,7.06,2189,1950
57.39485,12.10781,2024,6,"Sweden","HUMAN_OBSERVATION",57.35,12.05,6.08,2203,1883
57.64021,11.76056,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2180,1896
57.89444,11.68961,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2173,1916
